Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2024-01-02,368.1172790527344,373.10994356766304,364.0477045096418,371.0850766205171,25258600
2024-01-03,367.8492431640625,370.48950306100176,365.77475973598075,366.27104850703563,23083500
2024-01-04,365.2090148925781,370.3307190883081,364.4447410237536,367.9187627219721,20901500
2024-01-05,365.0204162597656,369.2984233377166,363.7796942466461,366.23136215621287,20987000
2024-01-08,371.9089050292969,372.41512930069973,366.2710715059576,366.5588972016775,23134000
2024-01-09,373.0007629394531,373.1992602944753,368.4348996990196,369.2488206404886,20830000
2024-01-10,379.9289245605469,381.3185574608793,373.5268170885799,373.5764338531353,25514200
2024-01-11,381.7751159667969,387.780198154709,377.5566612901961,383.1349423924486,27850800
2024-01-12,385.5866394042969,385.79507222848605,381.79498552621925,382.6287471140417,21645700
2024-01-16,387.3732604980469,391.10536207750914,384.74293583850687,390.73811320122354,27202300
2024-01-17,386.5791931152344,387.2144270180735,381.95377793571856,385.1002622072083,22234100
2024-01-18,390.946533203125,391.0656376681701,387.2243672151433,388.81249742822837,23392100
2024-01-19,395.7109680175781,395.7109680175781,390.5793279412083,392.8225632535295,29272000
2024-01-22,393.5669250488281,397.64640414638313,390.66858534100083,397.0508515717816,27016900
2024-01-23,395.939208984375,396.415657149676,391.0060969711238,392.81259552044173,20525900
2024-01-24,399.5720520019531,402.6192726240681,397.4777277230109,398.5596337147809,24867000
2024-01-25,401.8648986816406,403.9890293414655,399.54227067121064,401.318993103645,21021200
2024-01-26,400.9318542480469,403.15524862311014,399.4429878794264,401.3685908061273,17803300
2024-01-29,406.67889404296875,406.93697391119514,401.3288862582104,403.0460564049105,24510200
2024-01-30,405.55731201171875,409.9841999980338,403.43321152066966,409.20008543774264,33477600
2024-01-31,394.6290283203125,412.2373773020663,394.2617794181789,403.9394119853898,47871100
2024-02-01,400.7829895019531,404.97166826278436,398.8176749129533,398.8474510298594,30657700
2024-02-02,408.1677551269531,409.5871338016017,400.5646072018857,400.812751597778,28245000
2024-02-05,402.63909912109375,408.1082114138597,400.9914166630484,406.8575539393165,25352300
2024-02-06,402.48028564453125,404.94188902369723,399.9194487371533,402.8674054523912,18382600
2024-02-07,410.9767150878906,411.2248594709387,404.37608055702276,404.41579213980793,22340500
2024-02-08,411.0362854003906,412.4755350018156,409.4680261585971,410.97673316912403,21225300
2024-02-09,417.428466796875,417.6964821154021,412.0090019818164,412.1678180210386,22032800
2024-02-12,412.1777648925781,417.6170705038726,411.67154064674395,417.4384138139534,21202900
2024-02-13,403.3041687011719,407.0263349872701,400.39592337948983,401.93440666131704,27824900
2024-02-14,407.20220947265625,407.55026012610176,402.309714028661,405.7901598689575,20401200
2024-02-15,404.2886047363281,406.844253795532,402.0312978280853,405.8597944956463,21825500
2024-02-16,401.8025817871094,406.00896040801706,401.1860504791686,405.68078706857665,22281100
2024-02-20,400.5396423339844,402.2301263167616,395.7863491519294,400.98710999983217,24307900
2024-02-21,399.93304443359375,400.0424456526566,395.0007640638113,397.9342947827931,18631100
2024-02-22,409.35015869140625,410.52355890092315,406.2873796052456,407.89832401951116,27009900
2024-02-23,408.0474853515625,413.53663497455545,406.68514420153736,413.34772439674856,16295900
2024-02-26,405.26312255859375,409.8573062169829,405.0841051371281,409.1612049093751,16193500
2024-02-27,405.2034912109375,406.0387946357455,401.5937665324974,405.71062129384273,14835800
2024-02-28,405.442138671875,407.0132981269282,403.0555531345534,405.89956023265023,13183100
2024-02-29,411.3290710449219,411.8859399826613,403.65220029227874,406.35700528147635,31947300
2024-03-01,413.17864990234375,413.54657789991296,408.58446615968444,408.97227149463464,17800300
2024-03-04,412.6018981933594,415.0183147511929,410.01641805524184,411.1301558754575,17596000
2024-03-05,400.40045166015625,411.9356503526025,398.4017018502844,411.647262039844,26919200
2024-03-06,399.84356689453125,402.8964224494763,396.16425656691945,400.71865529372803,22344100
2024-03-07,406.85418701171875,407.4905956100929,399.99271239952117,403.8510400518644,18718500
2024-03-08,403.95050048828125,408.12704774835913,402.07104511712214,405.6807696131603,17971700
2024-03-11,402.2599792480469,403.4135020941874,399.01821315419863,401.50424592249806,16120800
2024-03-12,412.9598693847656,413.2482576798519,404.5173119089149,405.3426614260634,22457000
2024-03-13,412.7809143066406,415.8436935276916,409.15131229350845,415.76415382654346,17115900
2024-03-14,422.8443603515625,425.42984060788893,415.6547423607053,417.89217194553146,34157300
2024-03-15,414.0935363769531,420.23900234731536,410.48381179475484,416.9474972557258,45049800
2024-03-18,414.9884948730469,418.3794472894522,411.4682638941532,411.93563927933707,20106000
2024-03-19,419.0556640625,419.3142212017465,413.2283870161096,415.4956478647297,19837900
2024-03-20,422.85430908203125,423.58021124975613,418.309833763603,419.6423437252515,17860100
2024-03-21,426.97113037109375,428.41304144575804,424.7734860074544,427.42855188114163,21296200
2024-03-22,426.3446960449219,427.45843394827926,423.689629855147,427.29935454529834,17636500
2024-03-25,420.4975280761719,425.0221260957636,419.2545116444842,422.8642362176382,18060500
2024-03-26,419.2943115234375,423.6100610855182,418.9959997080953,423.23217922136354,16725600
2024-03-27,419.0755310058594,422.0786781731288,416.6690681514724,422.0687243304564,16705000
2024-03-28,418.3694763183594,419.5130453021147,416.77840930540117,418.60812574882544,21871200
2024-04-01,422.1979675292969,425.49942622936265,419.8610907281335,421.581436276879,16316000
2024-04-02,419.0854797363281,420.02023052369515,415.5055863322716,417.76289325444293,17912000
2024-04-03,418.1009826660156,420.8952809331748,416.7485651257134,417.38500404987406,16502300
2024-04-04,415.54534912109375,426.2750749166042,415.2370834893159,422.61561166210583,19370900
2024-04-05,423.14263916015625,424.127128736723,415.98288325528824,417.66344377349407,16544300
2024-04-08,422.2178649902344,424.89283872354207,420.9350635621418,422.7946415969465,14272400
2024-04-09,423.8984375,425.35027220569395,419.26446856697675,424.05754724607453,12512300
2024-04-10,420.89532470703125,421.661011916909,417.3552162776753,419.83129534027074,16216600
2024-04-11,425.5392150878906,426.9711724620608,420.00032651884925,423.4410178927454,17966400
2024-04-12,419.54290771484375,422.804581678046,417.42480282053265,421.68088994748047,19232100
2024-04-15,411.3290710449219,424.43542911406485,411.12022243295877,424.21665700659,20273500
2024-04-16,412.2637634277344,416.0624286957439,411.4185365831452,412.2538399328981,16765600
2024-04-17,409.5390930175781,416.53976983372166,408.0375195051445,414.91887160320215,15855500
2024-04-18,402.0113830566406,409.5888365595163,401.6931939204708,408.3358663111444,21029900
2024-04-19,396.8901672363281,403.21465058171344,395.54770342907875,401.77273939113434,30276500
2024-04-22,398.7198791503906,400.5993345281771,393.5389952527112,397.84479074255864,20286900
2024-04-23,405.29296875,405.9194538806366,400.8081557996997,401.98155601580095,15734500
2024-04-24,406.774658203125,410.1656108320905,404.50739733751277,407.2718647995056,15065300
2024-04-25,396.8106384277344,397.6558956886126,385.8621397543202,391.828618752875,40586500
2024-04-26,404.0499572753906,410.6926298157454,403.49308834069507,409.8672802562405,29694700
2024-04-29,400.0026550292969,404.04992348343285,396.95975348095465,402.98589422156016,19582100
